iter	Passed	Remaining
402	13330	3208
403	13367	3176
404	13397	3142
405	13433	3110
406	13472	3078
407	13502	3044
408	13533	3011
409	13569	2978
410	13600	2945
411	13632	2911
412	13668	2879
413	13701	2846
414	13732	2812
415	13761	2778
416	13792	2745
417	13823	2711
418	13853	2678
419	13884	2644
420	13917	2611
421	13950	2578
422	13983	2545
423	14009	2511
424	14035	2476
425	14065	2443
426	14095	2409
427	14129	2376
428	14158	2343
429	14193	2310
430	14225	2277
431	14250	2243
432	14277	2209
433	14308	2175
434	14338	2142
435	14376	2110
436	14412	2077
437	14445	2044
438	14479	2012
439	14513	1979
440	14545	1946
441	14573	1912
442	14602	1878
443	14630	1845
444	14661	1812
445	14691	1778
446	14720	1745
447	14749	1712
448	14780	1678
449	14807	1645
450	14837	1612
451	14868	1579
452	14897	1545
453	14929	1512
454	14961	1479
455	14995	1446
456	15025	1413
457	15059	1381
458	15088	1347
459	15117	1314
460	15146	1281
461	15182	1248
462	15216	1215
463	15247	1182
464	15278	1149
465	15304	1116
466	15336	1083
467	15374	1051
468	15412	1018
469	15446	985
470	15477	952
471	15509	920
472	15539	887
473	15571	854
474	15602	821
475	15635	788
476	15665	755
477	15699	722
478	15729	689
479	15759	656
480	15788	623
481	15822	590
482	15851	557
483	15879	524
484	15915	492
485	15945	459
486	15980	426
487	16011	393
488	16044	360
489	16076	328
490	16110	295
491	16144	262
492	16175	229
493	16210	196
494	16245	164
495	16276	131
496	16307	98
497	16341	65
498	16372	32
499	16405	0
